title|description|start_date|end_date|category|tags|content_type|institution|Id
Análisis multiescala de laminados compuestos mediante elementos degenerados para el diseño computacional de materiales de altas prestaciones|En este trabajo se propone una metodología para el estudio de transiciones entre laminados en estructuras planas de material compuesto. la técnica desarrollada se basa en los análisis multi-escala para desarrollar un procedimiento multi-modelo. con ésta, se trabaja con un macro y un micro modelo, como hace un multi-escala, pero éstos modelos no respetan la condición de periodicidad y la diferenciación en el tamaño de escala, entre ambos modelos. este nuevo enfoque tiene como objetivo principal el estudio de grandes estructuras geométricamente planas que debido a su complejidad no puedan ser simuladas con elementos superficiales. y que, debido a su tamaño, su análisis mediante elementos sólidos sea extremadamente costoso. en el mundo naval este tipo de estructuras es muy común, ya que tanto los cascos como las cubiertas son el resultado de la unión de numerosas superficies lisas que podrían ser discretizadas en elementos lámina.|2023-09-01|2025-08-31|Ingeniería|Metodología, Análisis Multi-escala, Procedimiento Multi-modelo, Estructuras Planas, Material Compuesto, Elementos Superficiales, Elementos Lámina, Transiciones entre Laminados, Modelos Geométricos|Proyecto|UPC|51
Métodos de evaluación y refuerzo avanzados para una rehabilitación sísmica de estructuras de hormigón armado|Métodos de evaluación y refuerzo avanzados para una rehabilitación sísmica de estructuras de hormigón armado|2023-09-01|2025-08-31|Tecnología|Tecnología, Ingeniería Civil, Refuerzo Estructural, Evaluación Sísmica, Rehabilitación de Estructuras, Construcción, Ingeniería Estructural|Proyecto|UPC|52
Estrategias de evaluación e intervención para la regeneración urbana y la mitigación de la pobreza energética en Barcelona y Bilbao.|Estrategias de evaluación e intervención para la regeneración urbana y la mitigación de la pobreza energética en Barcelona y Bilbao.|2023-09-01|2026-08-31|Urbanismo|"Regeneración Urbana, Pobreza Energética, Estrategias de Evaluación, Intervención, Barcelona, Bilbao, Desarrollo Urbano, Sostenibilidad Urbana, Políticas Urbanas.




"|Proyecto|UPC|53
Técnicas basadas en datos para mejorar la calidad de la información en redes de nodos IoT|El proyecto DIDEROT se enfoca en mejorar la precisión de los datos captados por dispositivos IoT de bajo costo mediante técnicas basadas en datos. Busca optimizar la calidad de los datos mientras reduce los costos de operación de redes de monitorización en diversas áreas. Se basa en datos experimentales y en la creación de redes de monitorización propias. Los resultados se publican abiertamente, contribuyendo a la ciencia abierta. Además, se busca transferir tecnología a empresas e instituciones y formar a nuevos investigadores. El proyecto aborda desafíos en la calidad de datos, la eficiencia energética y la colocación de sensores en modelos físicos, con aplicaciones en calidad del aire y otros campos.|2023-09-01|2026-08-31|Tecnología| IoT, Datos, Redes, Sensores, Investigación, Calidad, ML&AI|Proyecto|UPC|54
Cargador de a bordo altamente integrado y bidireccional basado en dispositivos GaN para vehículos eléctricos urbanos|Cargador de a bordo altamente integrado y bidireccional basado en dispositivos GaN para vehículos eléctricos urbanos|2023-09-01|2026-08-31|Tecnología|Tecnología, Vehículos eléctricos, Cargadores, Dispositivos GaN, Movilidad urbana|Proyecto|UPC|55
Hidrogeles autoensamblados con nanopartículas dirigidos a múltiples factores de cronicidad en heridas|Hidrogeles autoensamblados con nanopartículas dirigidos a múltiples factores de cronicidad en heridas|2023-09-01|2023-09-01|Salud|"Hidrogeles, Nanopartículas, Heridas, Cronicidad, Tratamiento médico




"|Proyecto|UPC|56
Red Temática de Matemática Discreta y Algorítmica|La matemática discreta es un àrea de las matemàticas que estudia estructuras combinatorias y geométricas discretas, particularmente grafos, geometrías finitas, estructuras geométricas discretas y aspectos combinatorios de estructuras algebraicas y de la teoría de números. De forma natural los aspectos algorítmicos tienen una relevancia particular en el área, en particular por la estrecha conexión de la matemática discreta con la informática. Tanto por los métodos, de naturaleza analítica, topológica, algebraica, geométrica y probabilística, como por sus significativas aplicaciones a la teoría de la computación, la teoría de la información, la teoría de códigos, la estadística, la física estadística, la biologia y las ciencias sociales, con las que mantiene una intensa interacción, la matemática discreta es un área genuinamente interdisciplinar, tanto en las matemáticas como en las ciencias y la tecnología. El objetivo de la red de matemática discreta y algorítmica es la de coordinar los grupos de investigación y promover las actividades del área en España, promover su visibilidad internacional, establecer contactos con organizaciones similares a nivel internacional, promover la difusión y divulgación de la matemática discreta y algorítmica tanto a nivel científico como en medios de comunicación y redes sociales, promover actuaciones para la formación de jóvenes investigadores y promover y fomentar la participación de la mujer en el área.|2023-06-01|2025-05-31|Matemática|Matemática Discreta, Teoría de Grafos, Geometría Discreta, Geometría Computacional, Combinatoria Analítica, Combinatoria Algebraica, Teoría de Números, Estructuras Aleatorias Discretas, Teoría Combinatoria de Grupos, Semigrupos Numéricos, Discrete Mathematics, Graph Theory, Discrete Geometry, Computational Geometry, Analytic Combinatorics, Algebraic Combinatorics, Combinatorial Number Theory, Random Discrete Structures, Combinatorial Group Theory, Numerical Semigroups|Proyecto|UPC|57
Red Española de Investigación en tecnologías TIC aplicadas a las ciencias del deporte y la salud.|AYUDAS PARA LA CREACIÓN DE REDES DE INVESTIGACIÓN EN CIENCIAS DEL DEPORTE|2023-01-01|2023-11-15|Deporte|Investigación en Deporte, Ciencias del Deporte, Ayudas Deportivas, Convocatoria de Investigación, Consejo Superior de Deportes, Resolución Provisional|Proyecto|UPC|58
Producción de proteínas para alimentación a partir de subproductos del sector agroalimentario mediante el cultivo de microalgas|"El proyecto de la Universidad Politécnica de Cataluña (UPC) se enfoca en la producción de proteínas a partir de subproductos del sector agroalimentario utilizando el cultivo de microalgas. Este proyecto se inscribe en la iniciativa más amplia de economía circular y bioeconomía, buscando remediar subproductos agroalimentarios y convertirlos en un recurso valioso. La investigación se centra en el uso de efluentes de agua dulce, como los de la industria de bebidas y el drenaje de cultivos hidropónicos, como medio de cultivo para microalgas ricas en proteínas. Se evaluará la viabilidad de este proceso a nivel de laboratorio, considerando cepas de microalgas, condiciones de cultivo y análisis de sostenibilidad. El objetivo es cerrar el ciclo agroalimentario mediante una producción sostenible de proteínas a partir de microalgas.




"|2023-09-01|2026-08-31|Ciencias|Microalgas, Proteínas, Economía Circular, Bioeconomía, Agricultura Sostenible, Subproductos Agroalimentarios, Sostenibilidad, Industria Alimentaria.|Proyecto|UPC|59
Semiconductores, en el corazón de la tecnología|La Universitat Politècnica de Catalunya - BarcelonaTech (UPC) lidera el ecosistema de semiconductores en Cataluña, que cuenta con alrededor de 100 empresas y 4,400 profesionales. Empresas como Cisco, Monolithic Power Systems y Intel han establecido centros de diseño de microchips en Barcelona, y se esperan más inversiones extranjeras. La UPC, junto con el Barcelona Supercomputing Center y el Instituto de Ciencias Fotónicas, forma parte de la Alianza de Semiconductores y Chips de Cataluña, una iniciativa público-privada para impulsar la industria de los chips. Además, colabora estrechamente con empresas como QORVO, que ha establecido una sede en el campus para fomentar la investigación y la colaboración tecnológica.|2023-09-05||Tecnología|Semiconductores, Tecnología, Innovación, Universidad Politécnica de Catalunya, Barcelona, Investigación, Industria Tecnológica, Alianza Público-Privada, Empresas de Tecnología, Desarrollo Tecnológico, Inversión Extranjera.|Proyecto|UPC|60
Indie Games TRS|18 ponencias de profesionales del sector de los videojuegos, exposiciones, encuentros de 'networking', una 'game jam' y un simposio en el que se presentarán trabajos científicos en torno a los videojuegos. Éstas son algunas de las actividades programadas en el congreso 'Indie Games TRS', que el Ayuntamiento de Terrassa y el Centro de la Imagen y la Tecnología Multimedia (CITM) de la UPC organizan el 27 de octubre en esta ciudad.|2023-09-26|2023-09-26|Tecnología|Indie Games TRS, videojuegos, profesionales, Terrassa, Ayuntamiento, CITM UPC, congreso, networking, game jam, simposio, trabajos científicos|Evento|UPC|61
Cátedra de formación y nuevas tecnologías para una agricultura sostenible|La Universitat Politècnica de Catalunya - BarcelonaTech (UPC) y Syngenta colaboran desde hace más de 15 años en la transferencia de conocimiento y formación en tecnologías agrícolas para optimizar el uso seguro de insumos en la agricultura. La Cátedra Syngenta, dirigida por el profesor Emilio Gil, se enfoca en la innovación, desarrollo, formación y transferencia de conocimiento para mejorar la sostenibilidad y seguridad alimentaria a través de la agricultura de precisión y la transformación digital. Las actividades incluyen formación, desarrollo de tecnologías de aplicación y promoción de sistemas de aplicación variable en viñedos. Además, se ofrecen oportunidades de prácticas y un premio académico.|2023-09-27|2023-09-27|Tecnología|Agricultura de precisión, Syngenta, UPC, Transformación digital, Sostenibilidad, Innovación agrícola|Evento|UPC|62
ESAB - Foro BioEnginy|El Foro BioEnginy es un evento abierto que se celebra el 24 de abril, organizado por los estudiantes de la Escuela Superior de Agricultura de Barcelona (ESAB) de la Universitat Politècnica de Catalunya en colaboración con UPC Alumni y el Colegio de Ingenieros Técnicos Agrícolas y Forestales de Cataluña. Durante toda la jornada, las empresas e instituciones ligadas a la ESAB entrarán en contacto con el estudiantado de los grados en ingeniería y de los másteres de la Universitat Politècnica de Catalunya en la rama de Ingeniería de Biosistemas y Agroalimentaria.|2019-04-24|2019-04-24|Foro|Evento, Educación, Ingeniería, Agricultura, Universitat Politècnica de Catalunya|Evento|UPC|63
ACE - III Congreso de Consultores de Estructuras|El III Congreso de Consultores de Estructuras, organizado por la ACE (Asociación de Consultores de Estructuras), es un evento destacado en el campo de la ingeniería civil y la arquitectura. Su objetivo principal es dignificar la profesión de consultor de estructuras y revitalizar el sector después de la crisis. El congreso reunió a expertos nacionales en diseño, cálculo y construcción de estructuras, ofreciendo conferencias sobre temas innovadores. Participar en este evento proporcionó a los asistentes, incluyendo a TAIDO, una oportunidad para adquirir nuevos conocimientos y avanzar en sus servicios de consultoría de estructuras. La ACE logró un gran éxito tanto en la organización como en la calidad de las ponencias.|2019-04-03|2019-04-05|Ingeniería|Consultores de Estructuras, Ingeniería Civil, Arquitectura, ACE, Profesión, Sector, Conferencias, Conocimientos, Servicios de Consultoría, Reactivación|Evento|UPC|64
Chapter China - Encuentro de Networking|El próximo 31 de marzo a las 16:00h, Tendrá lugar un nuevo encuentro de networking del Chapter China, en la Universidad de Tongii, Shanghai. El próximo 31 de marzo a las 16:00h, Tendrá lugar un nuevo encuentro de networking del Chapter China, en la Universidad de Tongii, Shanghai.|2019-03-31|2019-03-31|Networking|Networking, Capítulo, Universidad, Evento.|Evento|UPC|65
WEBINAR - Supera la entrevista de trabajo presencial y en línea|La entrevista de trabajo es la principal herramienta de selección de una empresa. Infórmate sobre el contenido de las entrevistas de selección y las preguntas típicas que siempre te debes preparar. Mejora tus habilidades para realizar la entrevista en línea o telefónica.|2020-12-17|2020-12-17|Empleo|Webinar, Entrevista de trabajo, Selección de personal, Habilidades, Entrevista en línea, Entrevista telefónica|Evento|UPC|66
WEBINAR - LinkedIn: Optimiza tu networking|LinkedIn es la red líder de networking profesional. Ya tienes tu perfil activado en esta red; pero, ¿lo utilizas? Identifica cómo puedes mejorar tu perfil, descubre las posibilidades que ofrece esta red e intégrala en tu estrategia digital.|2020-12-16|2020-12-16|Empleo|LinkedIn, Redes Sociales, Networking, Estrategia Digital, Perfil Profesional|Evento|UPC|67
WEBINAR - La técnica DAFO aplicada al autoconocimiento|Has empezado a buscar trabajo y quieres saber cuál es tu valor profesional. Tienes dudas sobre tus objetivos a medio plazo, incluso sobre los valores que una empresa puede ver en ti. Práctica esta reflexión acompañado de un experto, para descubrirte a tú mismo y ganar autoconfianza.|2020-12-15|2020-12-15|Empleo|Autoconocimiento, Empleo, DAFO, Reflexión Personal, Autoconfianza|Evento|UPC|68
WEBINAR - Pon a punto tu currículum|¿Sabes cómo se diseña un currículum atractivo que muestre tu potencial? Un buen CV te ayudará a presentar ante las empresas tu objetivo profesional y llegar a las ofertas que más te interesan proyectando tu mejor imagen. Refuerza tu marca personal para mejorar la visibilidad de tu CV.|2020-12-14|2020-12-14|Empleo|Currículum, Marca Personal, Empleabilidad, Búsqueda de Empleo, Mejora Profesional|Evento|UPC|69
WEBINAR - Mejora tus habilidades de comunicación|Descubre las principales características de un buen comunicador. Identifica los factores que distorsionan el proceso de comunicación interpersonal. Analiza tu propio estilo comunicativo para incrementar tus recursos cuando comuniques.|2020-11-26|2020-11-26|Comunicación|Comunicación Interpersonal, Habilidades de Comunicación, Comunicador, Comunicación Efectiva, Mejora de Comunicación|Evento|UPC|70
WEBINAR - Normativa labora básica|Una vez superado el proceso de selección: ¿sabes qué tipos de contratos te pueden ofrecer? ¿Sabes interpretar tu nómina? ¿Conoces la diferencia entre el sueldo bruto y el sueldo neto? En esta actividad aprenderás cuáles son los contratos que más utilizan las empresas y obtendrás recursos para navegar con seguridad en el mundo de las relaciones laborales.|2020-11-25|2020-11-25|Empleo|rabajo, Empleo, Recursos Laborales, Contratos, Nómina|Evento|UPC|71
ETSEIB Alumni- Programa de mentoría E2e (primera edición)|El programa E2e ofrece la oportunidad a estudiantes de la ETSEIB con menos de 4 años de experiencia o próximos a graduarse de ser mentoreados por ingenieros experimentados en sus campos. A través de esta colaboración, los mentores brindan orientación y apoyo tanto académico como profesional. Los interesados pueden inscribirse como mentorados o mentores, con plazos de inscripción hasta el 25 de noviembre. La selección se anunciará el 14 de diciembre. Esta iniciativa busca empoderar a jóvenes ingenieros y fortalecer sus habilidades y crecimiento personal y profesional en un entorno académico y empresarial.|2020-11-25|2020-12-14|Empleo|Mentoría, Desarrollo Profesional, Ingeniería, ETSEIB, Estudiantes, Mentor, Mentorado, Empoderamiento, Carrera Profesional|Evento|UPC|72
ETSEIB - Fórum ETSEIB 2020|Los días 25 y 26 de noviembre de 2020 se celebra el Fórum ETSEIB, una de las ferias de empleo con más historia en la UPC y referencia en el entorno académico de los estudiantes de ingeniería. Este fórum, organizado por los estudiantes de la Escuela, tiene como principal objetivo acercar el mundo empresarial a los estudiantes de ingeniería para potenciar la captación de talento. Más de 50 empresas participarán durante los dos días, realizando entrevistas, conferencias y workshops, entre otras actividades, además de disponer de sus correspondientes estands.|2020-11-25|2020-11-26|Empleo|ETSEIB, Fórum ETSEIB, Feria de Empleo, Ingeniería, Captación de Talento, Estudiantes, Entrevistas, Conferencias, Talleres, Empresas, UPC.|Evento|UPC|73
WEBINAR - Crea tu portfolio profesional y abre tu perfil on line|El portfolio muestra tus habilidades y competencias de forma muy evidente y gráfica. Es una herramienta de investigación de trabajo necesario para la mayoría de puestos de trabajo en estudios de arquitectura, diseño, etc. A menudo algunos profesionales necesitan también de una página web personal, donde esté el CV, el portfolio y otros elementos gráficos. Sabes por donde empezar? Qué estrategias de marketing hay que tener presentes? Este taller está especialmente dirigido a estudiantes de ramas de diseño, arquitectura, imagen, etc. pero es abierto a cualquier persona interesada.|2020-11-24|2020-11-24|Empleo|Webinar, Portfolio Profesional, Perfil en Línea, Habilidades, Competencias, Estudios de Arquitectura, Diseño, Estrategias de Marketing, Estudiantes, Carrera Profesional|Evento|UPC|74
Dimensiones del síndrome de burnout y estrategias de afrontamiento en trabajadores de una empresa multinacional en la ciudad de Guatemala|Este estudio exploró el síndrome de burnout y las estrategias de afrontamiento en trabajadores de una empresa multinacional en Guatemala. Se observó que los empleados que experimentaban altos niveles de burnout tendían a utilizar más la estrategia de reacción agresiva para enfrentar el estrés laboral. Por otro lado, la estrategia de reevaluación positiva se asoció con niveles más bajos de burnout, específicamente en la dimensión de realización personal en el trabajo. Estos hallazgos resaltan la importancia de identificar y abordar el burnout en el entorno laboral, así como fomentar estrategias de afrontamiento saludables para mejorar la calidad de vida de los trabajadores.|2022-07-21|2022-07-21|Salud|Salud laboral, estrés laboral, burnout, afrontamiento, trabajadores, empresa, Guatemala.|Proyecto|USAC|75
Congreso Nacional de Cambio Climático Quetzaltenango, Guatemala|"El Congreso Nacional de Cambio Climático de Guatemala es una iniciativa que se lleva a cabo cada dos años con el objetivo de reunir a expertos, investigadores, representantes gubernamentales y de la sociedad civil para discutir y compartir experiencias sobre el cambio climático en el país y en la región.

El 1er Congreso Nacional de Cambio Climático fue una iniciativa de REDFIA (Red de Formación e Investigación Ambiental), integrada por los centros de investigación del tema ambiental de las diferentes universidades del país y el Ministerio de Ambiente y Recursos Naturales (MARN), mediante la coordinación del Instituto Privado de Investigación Sobre Cambio Climático (ICC)."|2023-09-11|2023-09-13|Medio Ambiente|Congreso Nacional, Cambio Climático, Guatemala, expertos, investigación, sociedad civil, medio ambiente, MARN.|Evento|USAC|76
Técnicas estadísticas utilizadas en la comparación de métodos cuantitativos de medición|El análisis comparativo de métodos cuantitativos de medición es crucial en campos como la salud y la ciencia. Este proceso implica evaluar si dos métodos diferentes arrojan resultados similares al medir una variable. Se debe realizar un muestreo adecuado y análisis de regresión para comprender la confiabilidad y concordancia entre los métodos, considerando errores proporcionales, constantes y aleatorios. Se recomiendan técnicas como el procedimiento de Bland y Altman, el coeficiente de correlación intraclase y al menos una técnica de regresión. Se desaconseja el uso del coeficiente de correlación de Pearson. Estos análisis proporcionan información valiosa sobre la reproducibilidad y comparabilidad de los métodos de medición.|2023-06-30|2023-06-30|Salud|comparación de métodos, medición cuantitativa, salud, análisis estadístico, confiabilidad, concordancia, reproducibilidad|Proyecto|USAC|77
Ensayo de toxicidad oral a dosis repetidas de 28 días de ivermectina, azitromicina y acetaminofén en ratones CD1|"
La automedicación con fármacos de venta libre durante la pandemia de Covid-19, incluyendo ivermectina, azitromicina y acetaminofén, se evaluó en ratones. Se encontraron efectos negativos en el peso, valores sanguíneos y daños en órganos como el hígado y el riñón. Estos resultados resaltan los riesgos de la automedicación repetida con estos fármacos y subrayan la importancia de ensayos clínicos para comprender mejor sus efectos en la salud humana."|2023-06-30|2023-06-30|Salud|"
Automedicación, COVID-19, efectos tóxicos, ensayo clínico, salud, modelo animal, ratones."|Proyecto|USAC|78
Problemas de olimpiadas de química basados en el contexto social hondureño|El uso de problemas de química basados en el contexto social puede ser un método muy efectivo para introducir contenidos a los estudiantes, ya que les permite involucrarse en temas relevantes que impactan en su entorno y despiertan su interés. Por esta razón, durante la Olimpiada Departamental de Química en Honduras, los profesores involucrados crearon problemas basados en el contexto social hondureño para observar cómo esto influía en la capacidad de los estudiantes para resolver problemas. Los autores demuestran los beneficios de incorporar problemas basados en el contexto basándose en evidencias científicas, así como en las respuestas de los estudiantes.|2023-06-30|2023-06-30|Social| problemas, olimpiadas de química, contexto social, resolución de problemas, estudiantes|Proyecto|USAC|79
Uso potencial de la especie vegetal Eichhornia crassipes del humedal artificial de la planta piloto Arturo Pazos|"El estudio evaluó el potencial de generación de biogás y la capacidad de eliminación de contaminantes de la Eichhornia crassipes en un humedal artificial. Se descubrió que esta planta tiene la capacidad de generar biogás, aunque el contenido de sólidos volátiles fue bajo, lo que sugiere la necesidad de co-digestión para mejorar la producción de biogás. Además, se demostró que la Eichhornia crassipes es altamente efectiva en la eliminación de contaminantes como DBO, DQO, turbidez y SST en aguas residuales, con reducciones superiores al 90%. Estos resultados destacan su potencial como una solución sostenible para el tratamiento de aguas residuales.




"|2023-06-27|2023-06-27|Medio Ambiente|Eichhornia crassipes, Humedal artificial, Biogás, Eliminación de contaminantes, Tratamiento sostenible de aguas residuales.|Proyecto|USAC|80
Análisis del uso de una aplicación móvil para reducir el agua potable no contabilizada|"Se llevó a cabo una investigación en una comunidad rural de Guatemala para evaluar una aplicación móvil diseñada para mejorar la lectura de contadores de agua potable. La aplicación permitió a 28 usuarios registrar los consumos y tiempos de lectura, y se compararon con el método manual tradicional. Se encontró una diferencia promedio de 1.50 segundos en el tiempo de lectura a favor de la aplicación móvil, y se observó una mayor precisión en el 82% de las lecturas realizadas con la aplicación. Estos resultados resaltan la eficiencia y precisión mejoradas que ofrece la tecnología móvil en la gestión del agua potable en áreas rurales.




"|2023-06-27|2023-06-27|Medio Ambiente|Aplicación móvil, Contadores de agua, Eficiencia, Gestión del agua, Comunidad rural, Tecnología de medición|Proyecto|USAC|81
Startups & Ventures “Capital para emprendedores”|"La convocatoria de ""Capital para Emprendedores"" está abierta a emprendimientos que muestren un alto potencial de crecimiento e innovación en cualquier sector. La oportunidad está dirigida a emprendedores ambiciosos que deseen llevar sus proyectos al siguiente nivel y estén en búsqueda de financiamiento estratégico. Deben ser emprendimientos legalmente constituidos en Ecuador, con al menos 6 meses de ventas comprobables y ventas mínimas de $30,000 al año. Los emprendimientos deben haber superado la etapa de prueba/demostración y estar generando ventas recurrentes, además de contar con un modelo de negocio proyectado al crecimiento y presentar innovación frente a su competencia. Adicional de otros requisitos y criterios de selección."|2023-08-26|2023-08-26|Emprendimiento|Convocatoria, Startups, Ventures, Capital para Emprendedores, Emprendimientos, Financiamiento, Innovación, Ecuador.|Proyecto|ESPOL|82
Ideacamp|"IdeaCamp es un programa que impulsa la innovación y emprendimiento, brindando a emprendedores las herramientas necesarias para desarrollar sus ideas. El programa incluye asesorías, diseño y desarrollo de prototipos, modelo de negocio, y preparación para presentaciones efectivas. Los participantes tienen acceso a un FabLab para construir prototipos y se integran en el ecosistema de innovación. Los talleres y tutorías son principalmente en línea, con opciones presenciales en Quito y Guayaquil. El programa tiene un costo total de $500 por equipo, con descuento del 50% para emprendedores participantes. Estudiantes de ESPOL pueden acceder a una beca del 90%.




"|||Emprendimiento|Innovación, Emprendedores, IdeaCamp, Programa de emprendimiento, Prototipos, Desarrollo de negocios, Asesoramiento empresarial, Innovación empresarial, FabLab, Ecosistema de innovación, Capacitación empresarial, Emprendimiento en Ecuador, Universidad ESPOL.|Proyecto|ESPOL|83
BOOSTCAMP|Boostcamp es un programa de aceleración de emprendimientos en fase inicial que ya cuentan con un prototipo, validación de mercado o primeras ventas. Ofrece asesoramiento en áreas como modelo de negocio, red de contactos, vigilancia tecnológica y propiedad intelectual. Además, brinda mentorías y coaching por parte de profesionales y empresarios experimentados. El programa tiene una duración de 13 semanas e incluye presentaciones intermedias y finales ante actores relevantes. También ofrece la posibilidad de participar en el Start Fellowship de Startup Global en Suiza. Los estudiantes activos de ESPOL pueden acceder a una beca del 90%. El costo total por equipo es de $250.|||Emprendimiento|Aceleración, Emprendimiento, Asesoramiento, Mentorías|Proyecto|ESPOL|84
Semana de Innovación ESPOL|"I3week es una semana enfocada en impulsar el emprendimiento y la innovación, reuniendo a académicos, empresarios, emprendedores y la comunidad en general. Este es el evento principal del año para adquirir conocimiento, compartir ideas y colaborar en la creación de valor y la construcción de un mundo mejor.
¡Inspírate y aprende con expertos en innovación, emprendimiento, sostenibilidad y transferencia tecnológica! Disfruta de charlas interesantes, conferencias, casos de éxito, talleres enriquecedores y oportunidades de hacer contactos. ¡No te pierdas esta gran oportunidad para crecer y aprender!"|2023-11-06|2023-06-10|Innovación|Innovación, Emprendimiento, Asesoramiento, Mentorías|Evento|ESPOL|85
i3corner: ¿Qué son las comunicaciones asincrónicas y cómo potenciar a tu empresa con ellas?|En la charla sobre comunicaciones asincrónicas, Paúl resalta la importancia de mantener una comunicación efectiva con los clientes. Destaca cómo el aumento del uso de teléfonos móviles y las redes sociales influyen en el crecimiento de las personas. Paúl enfatiza que la comunicación con los clientes debe ser constante y no limitarse a la venta, abogando por un control continuo de la comunicación. Las comunicaciones asincrónicas, como el uso de bots, permiten intercambiar información de manera no instantánea y, lo más valioso, dejan un rastro de evidencia, a diferencia de las conversaciones por voz en tiempo real.|2022-03-21|2022-03-21|Empleo|comunicaciones asincrónicas, clientes, redes sociales, comunicación efectiva|Evento|ESPOL|86
i3Corner: Charla Técnica de Control de Calidad de tu Software|"El i3Corner técnico ""Control de Calidad de tu Software"" contó con la participación de expertos de Nahual IT y atrajo a profesionales, estudiantes y profesores relacionados con el tema. El evento se centró en el control de calidad de productos y procesos de software, con un enfoque técnico. Se abordaron diferentes tipos de pruebas y se respondieron preguntas técnicas de la audiencia. El evento proporcionó información valiosa para aquellos interesados en mejorar la calidad de su software y se ofreció la posibilidad de acceder a la charla en línea para quienes no pudieron asistir en persona."|2020-05-31|2020-05-31|Tecnología|Calidad de Software, Testing, Nahual IT, Control de Calidad, Desarrollo de Software, Tecnología|Evento|ESPOL|87
MODELO PREDICTIVO DE CALIDAD DE SERVICIO PARA REDUCIR LATENCIA DE ENCOLAMIENTO|MODELO PREDICTIVO DE CALIDAD DE SERVICIO PARA REDUCIR LATENCIA DE ENCOLAMIENTO|2018-01-01|2022-01-01|Tecnología|Modelo Predictivo, Calidad de Servicio, Reducción de Latencia, Encolamiento, Tecnología, Servicios de Red|Proyecto|ESPOL|88
MODELO PARA EVALUACIÓN DE LOS EFECTOS DEL CAMBIO CLIMÁTICO EN LA OPERACIÓN DE LARGO PLAZO DE CENTRALES HIDROELÉCTRICAS APLICANDO TÉCNICAS DE INTELIGENCIA COMPUTACIONAL|MODELO PARA EVALUACIÓN DE LOS EFECTOS DEL CAMBIO CLIMÁTICO EN LA OPERACIÓN DE LARGO PLAZO DE CENTRALES HIDROELÉCTRICAS APLICANDO TÉCNICAS DE INTELIGENCIA COMPUTACIONAL|2021-01-01|2022-01-01|Medio Ambiente|Modelo Predictivo, Cambio Climático, Centrales Hidroeléctricas, Operación a Largo Plazo, Inteligencia Computacional, Energía Renovable|Proyecto|ESPOL|89
Estudio del Sistema de Alerta Temprana para Inundaciones y Plan de Acción Post COVID - 19 y Prevención de Invierno 2021 en Durán|Estudio del Sistema de Alerta Temprana para Inundaciones y Plan de Acción Post COVID - 19 y Prevención de Invierno 2021 en Durán|2020-08-01|2022-03-01|Salud|Salud, Prevención, Emergencias, COVID-19, Inundaciones, Plan de Acción, Durán|Proyecto|ESPOL|90
Diseño de intervenciones comportamentales de actividad física basadas en modelos dinámicos y técnicas de ingeniera de control aplicables a entornos transculturales.|Diseño de intervenciones comportamentales de actividad física basadas en modelos dinámicos y técnicas de ingeniera de control aplicables a entornos transculturales.|2022-01-01|2028-12-31|Salud|Intervenciones Comportamentales, Actividad Física, Modelos Dinámicos, Técnicas de Ingeniería de Control, Entornos Transculturales|Proyecto|ESPOL|91
Encender la Verdad. Co-Creación de Experiencias de Participación Crítica y Creativa para la Valoración y Apropiación de la verdad|"Este proyecto de investigación-creación, titulado ""Encender la Verdad"", se enfoca en la necesidad de reconstruir el tejido social y fomentar la constitución de ciudadanías que convivan en paz en Colombia. Se basa en el Informe Final de la Comisión de la Verdad y busca superar las barreras de acceso a este extenso documento para que sea comprendido y valorado por un público más amplio. A través de dispositivos de experiencia en espacios públicos de Medellín, se promoverá la participación crítica y creativa sobre la verdad y la historia del conflicto en Colombia. El proyecto surge de una alianza interinstitucional entre varias universidades y expertos en diseño.
"|2025-08-11|2025-08-11|Social|Verdad, Reconstrucción del Tejido Social, Ciudadanía, Participación Crítica, Creatividad, Conflicto Armado, Colombia, Comisión de la Verdad, Diseño, Paz, Memoria, Democracia|Proyecto|UDEM|92
“EL JUEZ INTELIGENTE” - MODELACIÓN DE UN AGENTE COGNITIVO (SISTEMA EXPERTO) QUE ASISTA AL JUEZ PARA EL ANALISIS DE INTELIGENCIA EN LA VALORACIÓN DE LA PRUEBA JUDICIAL.|"Descripción Agente cognitivo o sistema experto que asiste al juez en la valoración de la prueba judicial
Objetivo Desarrollar los elementos de un sistema experto que empleando lógica inductiva y lógica difusa permita al juez valorar individual y conjuntamente las pruebas en el proceso judicial."|2020-07-15|2023-12-30|Social|Juez Inteligente, Agente Cognitivo, Sistema Experto, Valoración de Pruebas, Proceso Judicial, Lógica Inductiva, Lógica Difusa|Proyecto|UDEM|93
